system:index,date,gldas_rootzone,.geo
0,2018-01-01,4.014881640194953,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2018-02-01,4.8908840059189815,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2018-03-01,6.013428076012157,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2018-04-01,7.112012524363553,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2018-05-01,5.24995103145795,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2018-06-01,1.25996747247639,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2018-07-01,1.9397523098271552,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2018-08-01,2.855833077201983,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2018-09-01,2.6287741779137344,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2018-10-01,3.7221563649358,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,2018-11-01,3.6667283135285618,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,2018-12-01,3.876353957614542,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,2019-01-01,4.98467898716923,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,2019-02-01,6.741059955926312,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,2019-03-01,11.371265536233789,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,2019-04-01,13.12642587855877,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,2019-05-01,12.785725783381103,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,2019-06-01,9.025302993321363,"{""type"":""MultiPoint"",""coordinates"":[]}"
18,2019-07-01,3.8841785422440442,"{""type"":""MultiPoint"",""coordinates"":[]}"
19,2019-08-01,3.156645468126556,"{""type"":""MultiPoint"",""coordinates"":[]}"
20,2019-09-01,0.62888011694537,"{""type"":""MultiPoint"",""coordinates"":[]}"
21,2019-10-01,-0.4358286964162358,"{""type"":""MultiPoint"",""coordinates"":[]}"
22,2019-11-01,-0.10017484132755242,"{""type"":""MultiPoint"",""coordinates"":[]}"
23,2019-12-01,2.151593617436486,"{""type"":""MultiPoint"",""coordinates"":[]}"
24,2020-01-01,-3.111993623073945,"{""type"":""MultiPoint"",""coordinates"":[]}"
25,2020-02-01,-2.6688374065612632,"{""type"":""MultiPoint"",""coordinates"":[]}"
26,2020-03-01,-1.3655538315724987,"{""type"":""MultiPoint"",""coordinates"":[]}"
27,2020-04-01,-1.6432011473428214,"{""type"":""MultiPoint"",""coordinates"":[]}"
28,2020-05-01,-3.1182358399469545,"{""type"":""MultiPoint"",""coordinates"":[]}"
29,2020-06-01,-4.722114753385004,"{""type"":""MultiPoint"",""coordinates"":[]}"
30,2020-07-01,-6.389431037022529,"{""type"":""MultiPoint"",""coordinates"":[]}"
31,2020-08-01,-7.070743820862057,"{""type"":""MultiPoint"",""coordinates"":[]}"
32,2020-09-01,-6.832996421147003,"{""type"":""MultiPoint"",""coordinates"":[]}"
33,2020-10-01,-7.026405766754624,"{""type"":""MultiPoint"",""coordinates"":[]}"
34,2020-11-01,-6.414400611842433,"{""type"":""MultiPoint"",""coordinates"":[]}"
35,2020-12-01,-5.9795290796387786,"{""type"":""MultiPoint"",""coordinates"":[]}"
36,2021-01-01,-5.768017080229263,"{""type"":""MultiPoint"",""coordinates"":[]}"
37,2021-02-01,-4.797036651050185,"{""type"":""MultiPoint"",""coordinates"":[]}"
38,2021-03-01,-4.2194670304433135,"{""type"":""MultiPoint"",""coordinates"":[]}"
39,2021-04-01,-4.953469261879589,"{""type"":""MultiPoint"",""coordinates"":[]}"
40,2021-05-01,-5.02059605686935,"{""type"":""MultiPoint"",""coordinates"":[]}"
41,2021-06-01,-5.454656235531383,"{""type"":""MultiPoint"",""coordinates"":[]}"
42,2021-07-01,-6.278714532171913,"{""type"":""MultiPoint"",""coordinates"":[]}"
43,2021-08-01,-4.859264454748698,"{""type"":""MultiPoint"",""coordinates"":[]}"
44,2021-09-01,-6.116325858380809,"{""type"":""MultiPoint"",""coordinates"":[]}"
45,2021-10-01,-3.437852245726579,"{""type"":""MultiPoint"",""coordinates"":[]}"
46,2021-11-01,-3.012476673527445,"{""type"":""MultiPoint"",""coordinates"":[]}"
47,2021-12-01,-2.1772198265041123,"{""type"":""MultiPoint"",""coordinates"":[]}"
48,2022-01-01,-1.499485770011217,"{""type"":""MultiPoint"",""coordinates"":[]}"
49,2022-02-01,-1.6416833917458555,"{""type"":""MultiPoint"",""coordinates"":[]}"
50,2022-03-01,-0.7213972785974258,"{""type"":""MultiPoint"",""coordinates"":[]}"
51,2022-04-01,-0.667501482972939,"{""type"":""MultiPoint"",""coordinates"":[]}"
52,2022-05-01,-2.04079097965805,"{""type"":""MultiPoint"",""coordinates"":[]}"
53,2022-06-01,-4.041875545390777,"{""type"":""MultiPoint"",""coordinates"":[]}"
54,2022-07-01,-5.308401793108303,"{""type"":""MultiPoint"",""coordinates"":[]}"
55,2022-08-01,-4.75138690266917,"{""type"":""MultiPoint"",""coordinates"":[]}"
56,2022-09-01,-5.110539688938148,"{""type"":""MultiPoint"",""coordinates"":[]}"
57,2022-10-01,-3.459970216260651,"{""type"":""MultiPoint"",""coordinates"":[]}"
58,2022-11-01,-2.943679334011844,"{""type"":""MultiPoint"",""coordinates"":[]}"
59,2022-12-01,-2.4691559037593365,"{""type"":""MultiPoint"",""coordinates"":[]}"
60,2023-01-01,-0.24045033605780264,"{""type"":""MultiPoint"",""coordinates"":[]}"
61,2023-02-01,0.32523620220270955,"{""type"":""MultiPoint"",""coordinates"":[]}"
62,2023-03-01,1.998485772162596,"{""type"":""MultiPoint"",""coordinates"":[]}"
63,2023-04-01,3.122004703190747,"{""type"":""MultiPoint"",""coordinates"":[]}"
64,2023-05-01,2.1398347329840495,"{""type"":""MultiPoint"",""coordinates"":[]}"
65,2023-06-01,0.03273724711173614,"{""type"":""MultiPoint"",""coordinates"":[]}"
66,2023-07-01,-4.39740514658637,"{""type"":""MultiPoint"",""coordinates"":[]}"
67,2023-08-01,-4.809929835242968,"{""type"":""MultiPoint"",""coordinates"":[]}"
68,2023-09-01,-5.0696296808681405,"{""type"":""MultiPoint"",""coordinates"":[]}"
69,2023-10-01,-4.962121539772017,"{""type"":""MultiPoint"",""coordinates"":[]}"
70,2023-11-01,-4.410259101311419,"{""type"":""MultiPoint"",""coordinates"":[]}"
71,2023-12-01,-3.5493633217581713,"{""type"":""MultiPoint"",""coordinates"":[]}"
72,2024-01-01,-2.9702793137193635,"{""type"":""MultiPoint"",""coordinates"":[]}"
73,2024-02-01,-1.6997066386073776,"{""type"":""MultiPoint"",""coordinates"":[]}"
74,2024-03-01,-1.210627652970665,"{""type"":""MultiPoint"",""coordinates"":[]}"
75,2024-04-01,-0.2195152671777137,"{""type"":""MultiPoint"",""coordinates"":[]}"
76,2024-05-01,-0.7416248828462167,"{""type"":""MultiPoint"",""coordinates"":[]}"
77,2024-06-01,-3.0848101378126533,"{""type"":""MultiPoint"",""coordinates"":[]}"
78,2024-07-01,-4.9891659170771,"{""type"":""MultiPoint"",""coordinates"":[]}"
79,2024-08-01,-5.454706186745565,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,2024-09-01,-5.645334706503376,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,2024-10-01,-5.046285650669184,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,2024-11-01,-3.3535536100906893,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,2024-12-01,-2.9012077764705815,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,2025-01-01,-2.589826709742087,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,2025-02-01,-2.0487601088011322,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,2025-03-01,-2.03035714815132,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,2025-04-01,-1.7566551749011945,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,2025-05-01,-1.9066970581789848,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,2025-06-01,-3.387290179136292,"{""type"":""MultiPoint"",""coordinates"":[]}"
