system:index,date,lwe_thickness,.geo
20180531_20180629,2018-05-31,-5.329605829630974,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180630_20180717,2018-06-30,-6.110591110037254,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181021_20181108,2018-10-21,-5.744130944758155,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181031_20181129,2018-10-31,-6.209395383318495,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181130_20181230,2018-11-30,-4.214049515669126,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181231_20190130,2018-12-31,-1.4726751048690416,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190125_20190303,2019-01-25,2.437804835083457,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190228_20190330,2019-02-28,5.428235185091419,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190331_20190429,2019-03-31,6.535143034804361,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190430_20190530,2019-04-30,7.796069037218355,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190531_20190629,2019-05-31,5.770845420860821,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190630_20190730,2019-06-30,1.4899095665288553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190731_20190830,2019-07-31,-0.7171471368745874,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190831_20190929,2019-08-31,-4.880289740293757,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190930_20191030,2019-09-30,-4.6954655165277925,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031_20191129,2019-10-31,-4.573964270523188,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191130_20191230,2019-11-30,1.270370431776002,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191231_20200130,2019-12-31,1.73339205602084,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131_20200228,2020-01-31,3.7142252204279123,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200229_20200330,2020-02-29,2.8416073061515075,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331_20200429,2020-03-31,1.7013256854155865,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430_20200530,2020-04-30,2.2815363892020066,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531_20200629,2020-05-31,-0.9442346441624578,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630_20200730,2020-06-30,-3.583632216249283,"{""type"":""MultiPoint"",""coordinates"":[]}"
