system:index,date,lwe_thickness,.geo
20180531_20180629,2018-05-31,-17.466506120996538,"{""type"":""MultiPoint"",""coordinates"":[]}"
20180630_20180717,2018-06-30,-13.379039266670132,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181021_20181108,2018-10-21,-15.737613307771845,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181031_20181129,2018-10-31,-16.20287774633219,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181130_20181230,2018-11-30,-14.495613335744011,"{""type"":""MultiPoint"",""coordinates"":[]}"
20181231_20190130,2018-12-31,-13.156464162718908,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190125_20190303,2019-01-25,-13.634680310213438,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190228_20190330,2019-02-28,-15.963760399128642,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190331_20190429,2019-03-31,-24.122065261614917,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190430_20190530,2019-04-30,-20.824500522134983,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190531_20190629,2019-05-31,-18.83903484546748,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190630_20190730,2019-06-30,-17.565616494249504,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190731_20190830,2019-07-31,-13.253631408205147,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190831_20190929,2019-08-31,-15.910193121233908,"{""type"":""MultiPoint"",""coordinates"":[]}"
20190930_20191030,2019-09-30,-11.468234272253218,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191031_20191129,2019-10-31,-9.55625777957311,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191130_20191230,2019-11-30,-4.2411929472484005,"{""type"":""MultiPoint"",""coordinates"":[]}"
20191231_20200130,2019-12-31,-9.850287975047955,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200131_20200228,2020-01-31,3.1461430291966597,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200229_20200330,2020-02-29,5.027421351908409,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200331_20200429,2020-03-31,4.102916044018276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200430_20200530,2020-04-30,5.74803017748255,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200531_20200629,2020-05-31,4.020454292678415,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200630_20200730,2020-06-30,2.9408399132548206,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200731_20200830,2020-07-31,1.9404878763883742,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200831_20200929,2020-08-31,-0.47694056319571443,"{""type"":""MultiPoint"",""coordinates"":[]}"
20200930_20201030,2020-09-30,-1.5433454385536065,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201031_20201129,2020-10-31,1.7863604468863565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201130_20201230,2020-11-30,1.3213897021086294,"{""type"":""MultiPoint"",""coordinates"":[]}"
20201231_20210130,2020-12-31,1.283047072405586,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210131_20210227,2021-01-31,3.372252519940052,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210228_20210330,2021-02-28,5.587388383801753,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210331_20210429,2021-03-31,5.753166622555162,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210430_20210530,2021-04-30,5.4657696105355225,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210531_20210629,2021-05-31,4.356224109332885,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210630_20210730,2021-06-30,3.461876965579873,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210731_20210830,2021-07-31,0.39562823123265245,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210831_20210929,2021-08-31,-1.2594050546038553,"{""type"":""MultiPoint"",""coordinates"":[]}"
20210930_20211030,2021-09-30,-0.43188819494285907,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211031_20211129,2021-10-31,-4.192356702176381,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211130_20211230,2021-11-30,-2.697429199644804,"{""type"":""MultiPoint"",""coordinates"":[]}"
20211231_20220130,2021-12-31,-2.3283929396353393,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220131_20220227,2022-01-31,-0.1799149321799178,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220228_20220330,2022-02-28,0.41584510755276505,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220331_20220429,2022-03-31,-0.8850265433774408,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220430_20220530,2022-04-30,-2.8840631852706498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220531_20220629,2022-05-31,-2.7959165614907633,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220630_20220730,2022-06-30,-3.366359091681498,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220731_20220830,2022-07-31,-2.3581202619820902,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220831_20220929,2022-08-31,-4.028526845167276,"{""type"":""MultiPoint"",""coordinates"":[]}"
20220930_20221030,2022-09-30,-6.2079945738764994,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221031_20221129,2022-10-31,-7.774244530367845,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221130_20221230,2022-11-30,-7.206960207441817,"{""type"":""MultiPoint"",""coordinates"":[]}"
20221231_20230130,2022-12-31,-1.2228378694642807,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230131_20230227,2023-01-31,-2.7229596936339284,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230228_20230330,2023-02-28,-1.1652093909658057,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230331_20230429,2023-03-31,-1.5322099464087946,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230430_20230530,2023-04-30,1.415970792588987,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230531_20230629,2023-05-31,1.0502671411626607,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230630_20230730,2023-06-30,-0.505413017824427,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230731_20230830,2023-07-31,0.4421631464489688,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230831_20230929,2023-08-31,-0.7980349903793129,"{""type"":""MultiPoint"",""coordinates"":[]}"
20230930_20231030,2023-09-30,-1.4893106845606576,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231031_20231129,2023-10-31,-2.278038809239318,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231130_20231230,2023-11-30,-0.5764735370627765,"{""type"":""MultiPoint"",""coordinates"":[]}"
20231231_20240130,2023-12-31,-0.10460737228274565,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240131_20240228,2024-01-31,3.5757854115845826,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240229_20240330,2024-02-29,2.4024505059792562,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240331_20240429,2024-03-31,2.104015698098114,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240430_20240530,2024-04-30,2.603433053352185,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240531_20240629,2024-05-31,1.1200445062740785,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240630_20240730,2024-06-30,-0.18617637977878584,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240731_20240830,2024-07-31,-0.5297009451763581,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240831_20240929,2024-08-31,-2.5058113376066236,"{""type"":""MultiPoint"",""coordinates"":[]}"
20240930_20241030,2024-09-30,-4.666243568804812,"{""type"":""MultiPoint"",""coordinates"":[]}"
