system:index,VH,VH_VV,VV,date,year_month,.geo
0,-18.766736609370476,-7.845945959091848,-10.920790650278626,2018-01-01,2018-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,-18.9817331674458,-7.702759340477733,-11.27897382696815,2018-02-01,2018-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,-17.608529489576696,-7.407869960326425,-10.200659529250384,2018-03-01,2018-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,-17.822055603455393,-7.844927025086683,-9.977128578368905,2018-04-01,2018-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,-17.44774878872083,-7.394755269525876,-10.052993519194793,2018-05-01,2018-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,-17.281211811531247,-7.146774966317925,-10.13443684521317,2018-06-01,2018-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,-17.1615583000955,-7.333756731782551,-9.827801568312955,2018-07-01,2018-07,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,-17.490705587913464,-7.317289313423863,-10.17341627448982,2018-08-01,2018-08,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,-17.65298734306953,-7.42234637488061,-10.230640968188686,2018-09-01,2018-09,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,-17.524832899194475,-7.808738983746368,-9.716093915448237,2018-10-01,2018-10,"{""type"":""MultiPoint"",""coordinates"":[]}"
10,-19.001261637990197,-7.982570545699426,-11.018691092290668,2018-11-01,2018-11,"{""type"":""MultiPoint"",""coordinates"":[]}"
11,-19.674922009461135,-8.512658738051252,-11.162263271409909,2018-12-01,2018-12,"{""type"":""MultiPoint"",""coordinates"":[]}"
12,-18.72346774349769,-8.174137695241894,-10.549330048255714,2019-01-01,2019-01,"{""type"":""MultiPoint"",""coordinates"":[]}"
13,-18.187755121682635,-7.8579527525825235,-10.329802369099975,2019-02-01,2019-02,"{""type"":""MultiPoint"",""coordinates"":[]}"
14,-18.2711458191569,-7.856360560723863,-10.414785258433087,2019-03-01,2019-03,"{""type"":""MultiPoint"",""coordinates"":[]}"
15,-18.174283928010734,-7.4393639279590005,-10.734920000051913,2019-04-01,2019-04,"{""type"":""MultiPoint"",""coordinates"":[]}"
16,-17.399062156610995,-7.704566477091277,-9.694495679519994,2019-05-01,2019-05,"{""type"":""MultiPoint"",""coordinates"":[]}"
17,-17.26733645835339,-7.299072614019926,-9.968263844333393,2019-06-01,2019-06,"{""type"":""MultiPoint"",""coordinates"":[]}"
