id,name,category,group,lat,lon,watershed,mlra_name,elevation_m,slope_deg,aspect_deg,nlcd_class,cdl_class,soil_map_unit,ecological_site,soil_taxonomy,parent_material,temp_regime,moisture_regime,ph,organic_matter_pct,cec,sand_pct,silt_pct,clay_pct,dist_to_town_km,dist_to_road_km,dist_to_forest_boundary_km
kmeans-Williams_Fork-1,K-Means site 1 — Williams Fork,kmeans,Williams Fork,40.3799351574,-107.5253199842,Williams Fork,Southern Rocky Mountains,2222.6,14.2,297.3,Deciduous Forest,Deciduous Forest,"Foidel loam, 25 to 65 percent slopes",Brushy Loam,"Fine-loamy, mixed Cryic Pachic Paleborolls",loess and colluvium derived from fine grained sandstone and shale,cryic,,6.4,30.67,31.7,41.4,37.1,21.5,13.9,1.2,14.4
kmeans-Williams_Fork-2,K-Means site 2 — Williams Fork,kmeans,Williams Fork,40.3779470836,-107.5044956777,Williams Fork,Southern Rocky Mountains,2125.8,29.1,298.8,Evergreen Forest,Deciduous Forest,"Flygare loam, dry, 25 to 65 percent slopes",Brushy Loam,"Loamy-skeletal, mixed Cryic Pachic Paleborolls",colluvium derived from sandstone and shale,cryic,,6.8,19.8,24.0,39.8,37.7,22.5,14.6,1.1,14.2
kmeans-Williams_Fork-3,K-Means site 3 — Williams Fork,kmeans,Williams Fork,40.3749728242,-107.5177926129,Williams Fork,Southern Rocky Mountains,2115.6,30.4,157.8,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,14.6,0.6,13.9
kmeans-Williams_Fork-4,K-Means site 4 — Williams Fork,kmeans,Williams Fork,40.3295123785,-107.6082925367,Williams Fork,Southern Rocky Mountains,2154.2,13.0,88.7,Shrub/Scrub,Shrubland,"Hesperus loam, 15 to 50 percent slopes",Brushy Loam,"Fine-loamy, mixed Pachic Argiborolls",residuum derived from sandstone,frigid,,7.0,2.5,12.5,41.4,37.1,21.5,19.3,0.4,10.0
kmeans-Williams_Fork-5,K-Means site 5 — Williams Fork,kmeans,Williams Fork,40.3275888884,-107.6177881227,Williams Fork,Southern Rocky Mountains,2052.4,12.1,235.5,Shrub/Scrub,Shrubland,"Torriorthents-Rock outcrop, sandstone complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Ustic Torriorthents",colluvium derived from sandstone and/or residuum weathered from sandstone,frigid,Aridic (torric),7.8,0.77,10.0,68.3,19.7,12.0,19.6,1.2,10.3
clhs-Williams_Fork-1,cLHS site 1 — Williams Fork,clhs,Williams Fork,40.3745496943,-107.6030068193,Williams Fork,Southern Rocky Mountains,2099.9,15.7,281.1,Deciduous Forest,Deciduous Forest,"Danavore-Waybe complex, 5 to 30 percent slopes",Dry Exposure,"Loamy-skeletal, mixed (calcareous) Typic Cryorthents",residuum derived from interbedded sandstone and shale,cryic,Udic,7.1,0.75,10.8,65.2,17.5,17.3,14.3,0.5,14.5
clhs-Williams_Fork-2,cLHS site 2 — Williams Fork,clhs,Williams Fork,40.3317569627,-107.6169922538,Williams Fork,Southern Rocky Mountains,2024.1,20.1,241.3,Shrub/Scrub,Shrubland,"Layoint-Moosed-Berlake complex, 1 to 20 percent slopes",Sandy Land,"Sandy, mixed Aridic Haploborolls",eolian deposits and residuum derived from sandstone,frigid,,7.0,1.5,7.5,83.1,9.4,7.5,19.1,1.1,10.6
clhs-Williams_Fork-3,cLHS site 3 — Williams Fork,clhs,Williams Fork,40.3657402282,-107.4475495479,Williams Fork,Southern Rocky Mountains,2175.5,40.8,136.3,Shrub/Scrub,Shrubland,"Goslin-Rock outcrop complex, 25 to 75 percent slopes",Loamy Breaks,"Coarse-loamy, mixed, superactive, calcareous, frigid Aridic Ustifluvents",colluvium and/or residuum weathered from sandstone and shale,frigid,Ustic,7.8,0.77,10.4,68.3,19.7,12.0,16.7,2.9,13.6
clhs-Williams_Fork-4,cLHS site 4 — Williams Fork,clhs,Williams Fork,40.389823164,-107.5419731393,Williams Fork,Southern Rocky Mountains,2251.0,9.7,13.9,Deciduous Forest,Deciduous Forest,"Foidel loam, cool, 3 to 25 percent slopes",Brushy Loam,"Fine-loamy, mixed Cryic Pachic Paleborolls",loess and residuum derived from fine grained sandstone and shale,cryic,,6.4,30.67,31.7,41.4,37.1,21.5,12.7,2.9,15.5
clhs-Williams_Fork-5,cLHS site 5 — Williams Fork,clhs,Williams Fork,40.3756316109,-107.4759991979,Williams Fork,Southern Rocky Mountains,2142.3,25.9,330.9,Deciduous Forest,Deciduous Forest,"Flygare loam, dry, 25 to 65 percent slopes",Brushy Loam,"Loamy-skeletal, mixed Cryic Pachic Paleborolls",colluvium derived from sandstone and shale,cryic,,6.8,19.8,24.0,39.8,37.7,22.5,15.1,0.2,14.1
