year,peak_swe_in,total_precip_in,SURACECO_hydroyear_volume_acft,SURCEDCO_hydroyear_volume_acft,diverted_upstream_of_SURCEDCO_acft,diverted_upstream_of_SURACECO_acft,gaged_plus_upstream_diverted_SURCEDCO_acft,gaged_plus_upstream_diverted_SURACECO_acft,gaged_runoff_in__SURCEDCO,runoff_ratio_gaged_only__SURCEDCO,gaged_plus_upstream_diverted_runoff_in__SURCEDCO,runoff_ratio_gaged_plus_upstream_diverted__SURCEDCO,gaged_runoff_in__SURACECO,runoff_ratio_gaged_only__SURACECO,gaged_plus_upstream_diverted_runoff_in__SURACECO,runoff_ratio_gaged_plus_upstream_diverted__SURACECO
1979,40.6,45.6,24903.716166300004,35478.3294789,12571.7412,49854.2033,48050.070678899996,74757.91946630001,24.278053931729012,0.5324134634151099,32.88097902296988,0.7210741013809184,12.128433197873377,0.26597441223406526,36.408077662159094,0.7984227557491029
1980,41.2,49.3,30734.887280400002,40653.769047600006,12512.9498,49856.621900000006,53166.71884760001,80591.50918040001,27.81964122782847,0.5642929255137621,36.38233497782847,0.7379783971161962,14.968289259935066,0.30361641500882486,39.249111613831175,0.796128024621322
1981,17.9,33.2,12630.2702202,18398.3673381,10328.3228,26423.4339,28726.6901381,39053.7041202,12.590123634648723,0.37922059140508196,19.657862776984487,0.5921043005115809,6.151105626720779,0.18527426586508366,19.0196610975,0.5728813583584337
1982,41.0,56.3,23885.0116239,40313.4074832,10842.2086,51613.2898,51155.616083199995,75498.3014239,27.58672957335766,0.48999519668486075,35.00612414452554,0.6217784039880203,11.632310855795456,0.20661298145285004,36.76865329086039,0.6530844279016056
1983,50.2,55.8,44705.182401000005,53855.4738057,10395.564,52914.4654,64251.0378057,97619.64780100001,36.85365452032391,0.6604597584287439,43.96740725755018,0.7879463666227631,21.772004416071432,0.39017929061059914,47.542036266720785,0.8520078184000142
1984,39.5,49.6,35979.74791410001,43401.0581085,12637.5134,50179.4564,56038.5715085,86159.2043141,29.69962918008668,0.5987828463727153,38.3475626198677,0.773136343142494,17.522604503620133,0.3532783166052446,41.96065145167208,0.8459808760417757
1985,38.0,53.3,29025.939006,41361.070527,13302.8592,52638.5606,54663.929727,81664.499606,28.303652276687956,0.5310253710448022,37.4068862182938,0.701817752688439,14.13600925616883,0.2652159335116103,39.77167188603896,0.7461852136217441
1986,39.3,62.2,33714.836082,50717.046630000004,9054.0034,52142.0507,59771.050030000006,85856.886782,34.706008186587596,0.5579744081444951,40.901722192062046,0.6575839580717371,16.419563026948055,0.26398011297344137,41.81341888733766,0.6722414612112164
1987,34.5,36.5,25299.8129286,41244.2447919,13543.1402,53055.7697,54787.3849919,78355.5826286,28.22370765869069,0.7732522646216627,37.49136746708485,1.0271607525228725,12.321337465227273,0.33757088945828145,38.1601863450974,1.0454845573999287
1988,28.5,44.6,13634.793030750001,25635.612537300003,13673.7742,37962.4463,39309.3867373,51597.23933075,17.542618068407847,0.3933322436862746,26.899671581181572,0.6031316498022774,6.640321281209415,0.14888612738137702,25.128525648092534,0.56341985758055
1989,29.8,31.8,13383.587948400002,22640.9861391,13728.5182,33713.8047,36369.5043391,47097.392648400004,15.493375551391425,0.4872130676538184,24.887890742997264,0.7826380736791593,6.517981143701299,0.20496796049375152,22.937041874220782,0.7212906249754962
1990,23.1,33.2,10873.917275700001,17006.3758119,10091.4532,22540.177200000002,27097.8290119,33414.0944757,11.637574688800184,0.3505293580963911,18.543222407778284,0.5585307954150085,5.29573893297078,0.15951020882442107,16.273097958944806,0.4901535529802652
1991,28.8,39.1,15257.956703400001,25545.3651528,13239.9028,35297.1772,38785.2679528,50555.1339034,17.48086119032847,0.4470808488575056,26.541013653832117,0.6787983031670618,7.430823069837663,0.1900466258270502,24.621006771136365,0.629693267803999
1992,24.4,34.2,13357.6046355,23362.1718315,13170.2818,37690.5076,36532.4536315,51048.1122355,15.986887658416972,0.46745285550926813,24.999398014256386,0.7309765501244556,6.505326932873377,0.1902142378033151,24.861093621185063,0.726932562022955
1993,49.5,55.2,35707.8156852,45426.3680934,9493.23,48864.872500000005,54919.598093399996,84572.68818520001,31.085562107709855,0.5631442410817002,37.58184176099452,0.6808304666846833,17.390169976558443,0.315039311169537,41.18799749279221,0.7461593748694241
1994,27.3,35.8,15861.919968900002,25870.652428800004,14956.582,44540.1278,40827.2344288,60402.0477689,17.70345741021898,0.4945099835256699,27.938344727737224,0.7804006907189169,7.724961023814936,0.21578103418477476,29.41658170563312,0.821692226414333
1995,45.8,57.8,33094.8067986,48194.483473800006,29663.9434,70163.6943,77858.42687380001,103258.50109860001,32.97980164721716,0.570584803585072,53.27903298845804,0.9217825776549835,16.1176007136039,0.27885122341875257,50.288231054513,0.8700385995590485
1996,26.6,34.8,15757.867709760001,23557.1458512,27124.4218,54009.140699999996,50681.5676512,69767.00840975999,16.120309660948905,0.4632272891077272,34.68172968832117,0.996601427825321,7.674286222285715,0.2205254661576355,33.9774391605974,0.9763631942700403
1997,40.8,55.3,28903.1628939,44809.3139985,24007.0148,62524.276999999995,68816.3287985,91427.4398939,30.663307936929748,0.5544901977744982,47.091465874885955,0.8515635782077027,14.07621569508117,0.2545427792962237,44.52635059767857,0.8051781301569363
1998,36.2,39.8,25955.742819900002,35764.7409585,23411.143799999998,60729.2275,59175.8847585,86684.9703199,24.47404718875456,0.6149258087626774,40.49444668692974,1.0174484092193403,12.64078384086039,0.3176076341924721,42.21670632462663,1.060721264437855
1999,31.9,43.6,18367.96091163,24516.941661300003,23779.5016,51019.2189,48296.4432613,69387.17981163,16.777104239028287,0.38479596878505246,33.04957339961223,0.7580177385232162,8.945435508910716,0.2051705391951999,33.79245770046916,0.7750563692768155
2000,22.1,30.7,13082.498872200002,20999.277124800003,23338.2342,47897.0005,44337.5113248,60979.49937220001,14.369943287956206,0.46807632859792203,30.340450267883206,0.9882882823414725,6.371346853344156,0.2075357281219595,29.69780813581169,0.9673553138700877
2001,23.5,30.8,10554.60021129,16958.316600330003,29189.5384,46141.5039,46147.855000330004,56696.104111290006,11.604687454605385,0.376775566707967,31.579280337817067,1.0253013096693853,5.140227375628247,0.16689049920870933,27.611739015238637,0.8964850329622934
2002,16.0,27.3,7129.40453337,10015.158867060001,15970.7072,22336.828700000002,25985.86606706,29466.233233370003,6.853439005743614,0.25104172182211043,17.782298859758214,0.6513662585992019,3.472112597420454,0.12718361162712286,14.350438263004872,0.5256570792309476
2003,25.4,37.4,14102.86952016,20666.869230990003,25835.8684,46959.3476,46502.73763099,61062.21712016,14.14247438252053,0.3781410262706024,31.82212885332345,0.8508590602492901,6.868280610467532,0.18364386659004098,29.738092753324672,0.7951361698749912
2004,27.7,42.9,14375.01992955,19788.29606694,22751.639400000004,38432.7272,42539.935466940005,52807.74712955,13.541260994712594,0.31564710943386004,29.11035729945712,0.6785631072134527,7.000821394261364,0.1631893098895423,25.71805866698864,0.5994885470160523
2005,48.9,60.7,40312.2174078,51733.92639012,22854.2384,64666.4474,74588.16479012,104978.6648078,35.40186568666971,0.5832267823174581,51.041171161122264,0.8408759664105809,19.632573412889613,0.323436135302959,51.12597312068182,0.8422730332896511
2006,26.8,38.1,17086.408382550002,25571.90383422,26649.2434,50718.8737,52221.14723422,67805.28208255,17.499021784365876,0.4592919103508104,35.73527411100821,0.9379337037010028,8.321302783709417,0.2184068972102209,33.022052962280846,0.8667205501910983
2007,18.3,39.7,13352.03111571,21267.48045078,20462.3698,39990.6533,41729.85025078,53342.68441571,14.553476585843978,0.3665863119859944,28.55601066431113,0.7192949789499025,6.502612556352274,0.16379376716252578,25.978580072586038,0.6543722940197993
2008,35.7,46.8,25670.26356603,35183.7858174,22104.4366,51414.0688,57288.2224174,77084.33236603,24.076495769206204,0.5144550378035514,39.2027069462135,0.8376646783378954,12.501751736702923,0.2671314473654471,37.541070957482134,0.8021596358436354
