month,swe_in_eom,precip_in,SURCEDCO_cfs_mean,SURACECO_cfs_mean
1979-01,17.3,21.3,2.25,3.07
1979-02,24.1,6.2,3.31,3.39
1979-03,33.3,7.3,3.51,4.05
1979-04,37.2,2.6,24.67,29.33
1979-05,32.1,4.1,140.48,130.26
1979-06,21.3,0.5,194.93,129.37
1979-07,0.0,1.8,87.71,46.55
1979-08,0.0,1.8,68.52,28.03
1979-09,0.0,0.0,42.5,20.91
1979-10,0.3,0.8,11.55,8.82
1979-11,2.7,3.4,9.44,5.78
1979-12,4.6,2.0,3.49,3.61
1980-01,14.7,11.9,3.21,3.35
1980-02,24.0,9.7,3.73,3.91
1980-03,32.3,7.5,4.08,4.25
1980-04,33.9,2.7,23.61,25.15
1980-05,28.9,7.2,137.87,147.87
1980-06,0.0,0.0,256.4,206.47
1980-07,0.0,1.4,99.84,49.55
1980-08,0.0,1.5,69.9,27.55
1980-09,0.0,1.2,41.5,17.54
1980-10,2.4,3.9,19.02,13.31
1980-11,4.4,2.7,5.79,4.39
1980-12,7.1,2.3,4.55,4.76
1981-01,7.6,1.2,4.19,3.99
1981-02,10.0,2.2,4.14,3.46
1981-03,15.2,4.5,3.85,3.89
1981-04,12.5,3.1,33.8,34.04
1981-05,0.4,5.2,73.55,58.84
1981-06,0.0,1.3,59.33,34.07
1981-07,0.0,3.9,44.03,18.45
1981-08,0.0,2.3,31.0,12.97
1981-09,0.0,0.6,24.47,13.79
1981-10,7.0,10.6,14.9,15.88
1981-11,9.4,1.6,6.25,5.26
1981-12,15.8,4.4,5.58,2.97
1982-01,25.0,8.0,5.74,3.57
1982-02,26.0,0.5,5.72,3.59
1982-03,39.5,11.3,6.1,4.87
1982-04,36.6,1.7,42.45,43.88
1982-05,27.4,2.5,135.58,94.06
1982-06,0.0,1.4,186.77,92.93
1982-07,0.0,2.0,111.9,58.71
1982-08,0.0,3.5,70.48,34.61
1982-09,0.0,8.8,58.9,29.93
1982-10,3.8,5.1,30.23,19.96
1982-11,13.9,8.3,12.08,10.26
1982-12,20.6,5.2,8.48,8.28
