month,swe_in_eom,precip_in,vwc_pct_2in,vwc_pct_8in,vwc_pct_20in,SURCEDCO_cfs_mean,SURACECO_cfs_mean
2016-01,17.3,17.8,40.22,38.5,40.29,,4.15
2016-02,20.4,2.7,40.2,38.5,40.26,,6.38
2016-03,25.7,4.3,40.21,38.52,40.23,,13.74
2016-04,27.6,4.3,40.26,38.6,40.46,47.04,55.95
2016-05,18.5,3.5,40.63,40.47,40.71,107.12,82.07
2016-06,0.0,1.0,40.84,41.24,40.88,126.75,70.04
2016-07,0.0,2.2,37.8,36.68,40.64,52.81,31.09
2016-08,0.0,3.1,38.86,37.86,40.63,42.88,23.71
2016-09,0.0,3.4,40.27,39.4,40.62,25.88,16.05
2016-10,0.0,1.4,40.23,39.17,40.56,22.05,18.51
2016-11,4.0,4.9,30.65,33.54,40.36,,6.35
2016-12,12.5,8.1,27.78,34.34,40.17,,5.65
2017-01,23.5,9.7,35.2,37.09,40.07,,6.94
2017-02,27.7,3.3,38.46,37.3,40.07,,7.66
2017-03,29.5,1.8,38.76,37.38,40.03,,21.46
2017-04,29.1,1.7,39.78,38.98,40.34,58.43,61.31
2017-05,16.8,2.0,40.7,40.64,40.7,122.87,84.68
2017-06,0.0,0.2,40.78,41.07,40.83,111.9,63.08
2017-07,0.0,3.4,35.34,35.95,40.55,59.33,35.85
2017-08,0.0,2.0,40.31,39.45,40.65,45.53,22.18
2017-09,0.0,3.3,39.85,38.72,40.55,28.39,13.08
2017-10,0.0,1.0,38.67,38.67,40.51,17.46,12.55
2017-11,1.3,1.0,22.9,27.0,40.17,,4.81
2017-12,1.5,0.5,19.04,20.06,36.45,,2.78
2018-01,4.5,2.9,19.61,20.03,31.95,,3.17
2018-02,9.0,4.7,20.45,20.51,31.63,,3.48
2018-03,12.0,3.0,21.34,21.33,31.66,,4.24
2018-04,11.5,2.5,24.63,24.04,32.71,14.33,17.01
2018-05,0.0,1.0,33.25,33.31,36.98,45.92,36.09
