depth,lag_days,n,pearson_r,pearson_p,spearman_rho,spearman_p,saturation_proxy_pct
20in,0,2676,-0.128,2.998723308029293e-11,0.0664,0.0005865894784782304,46.9
20in,3,2673,-0.143,1.0838634958182112e-13,0.0333,0.08553092300333134,46.9
20in,6,2670,-0.1586,1.686592290379452e-16,-0.0014,0.9412021800743706,46.9
20in,9,2667,-0.1748,9.80291992790108e-20,-0.0377,0.05185169574306575,46.9
20in,12,2664,-0.1915,2.0243564838510152e-23,-0.0753,9.911393984156983e-05,46.9
20in,15,2661,-0.2086,1.5142076185644513e-27,-0.1129,5.183649984409057e-09,46.9
20in,18,2658,-0.2257,4.774445229062732e-32,-0.1485,1.4283009562947252e-14,46.9
20in,21,2655,-0.2429,5.848104419145923e-37,-0.1829,2.1310312023169143e-21,46.9
20in,24,2652,-0.26,3.086968152463249e-42,-0.2156,2.9878532743723047e-29,46.9
20in,27,2649,-0.2772,6.278564160716823e-48,-0.2466,5.27115889352434e-38,46.9
20in,30,2646,-0.2943,5.2136509288472295e-54,-0.2765,1.1845688884548975e-47,46.9
20in,33,2643,-0.3109,2.5684003423099423e-60,-0.3048,6.026518867233295e-58,46.9
20in,36,2640,-0.3269,8.490813213205151e-67,-0.3303,3.012347344094284e-68,46.9
20in,39,2637,-0.3422,2.4545880938716254e-73,-0.354,1.1098874090520788e-78,46.9
20in,42,2634,-0.3566,8.188702154298685e-80,-0.3752,8.090276263763933e-89,46.9
20in,45,2631,-0.3695,6.716615876103309e-86,-0.3936,3.249516652643533e-98,46.9
20in,48,2628,-0.3807,2.1676064738953241e-91,-0.4095,8.142138797139736e-107,46.9
20in,51,2625,-0.3902,3.288933464259051e-96,-0.4227,2.6942076220564806e-114,46.9
20in,54,2622,-0.3984,1.8293960150205356e-100,-0.4333,1.6836803818301558e-120,46.9
20in,57,2619,-0.4053,3.839777169331596e-104,-0.4419,1.2286414927265233e-125,46.9
20in,60,2616,-0.4111,3.004559184354857e-107,-0.4482,1.8597394165630636e-129,46.9
20in,63,2613,-0.4158,9.287513310317087e-110,-0.4531,1.8355894909838696e-132,46.9
20in,66,2610,-0.4193,1.22072951591534e-111,-0.4576,2.848760983177749e-135,46.9
20in,69,2607,-0.4214,9.971000016628274e-113,-0.4618,7.215109998290175e-138,46.9
20in,72,2604,-0.4219,6.853622709592851e-113,-0.4645,1.5150949192605913e-139,46.9
20in,75,2601,-0.4203,7.521775038979539e-112,-0.4665,1.1076446395908808e-140,46.9
20in,78,2598,-0.4172,5.841978484909279e-110,-0.4674,3.905300928581404e-141,46.9
20in,81,2595,-0.4127,2.863173479458193e-107,-0.4675,4.855139381690317e-141,46.9
20in,84,2592,-0.4066,9.237786309915764e-104,-0.4672,1.0895100783794504e-140,46.9
20in,87,2589,-0.399,1.5235078787038032e-99,-0.4656,1.9302286277911717e-139,46.9
20in,90,2586,-0.3901,9.97278333651217e-95,-0.4631,1.1901303430297952e-137,46.9
20in,93,2583,-0.3793,3.4933146384556295e-89,-0.4588,1.1622000377109202e-134,46.9
20in,96,2580,-0.3667,6.086755093228892e-83,-0.4542,1.6231312594765087e-131,46.9
20in,99,2577,-0.353,1.745712071197508e-76,-0.4477,3.0441573838288058e-127,46.9
20in,102,2574,-0.3385,4.764928703358093e-70,-0.4413,4.0664341471802935e-123,46.9
20in,105,2571,-0.3234,1.1046928095701016e-63,-0.4358,1.2249549037824184e-119,46.9
20in,108,2568,-0.3085,9.33437318321811e-58,-0.4306,1.8738240666110767e-116,46.9
