WDID,StructName,StructType,sub_basin,WaterSrc,LatDecDeg,LongDecDeg,source_file
SURCEDCO,SURFACE CREEK NEAR CEDAREDGE (USGS 09143000),Stream Gage,Gage,SURFACE CREEK,38.984722,-107.853889,USGS site service
SURACECO,SURFACE CREEK AT CEDAREDGE (USGS 09143500),Stream Gage,Gage,SURFACE CREEK,38.9016487,-107.921176,USGS site service
4003125,BLANCHE PARK RES,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),WEST FORK BONITA SURFACE CREEK [00175308],39.054543,-107.871697,Grand-Mesa_portion.xlsx
4003138,LEON TUNNEL OUTLET,Pipeline,Within Grand Mesa NF (Surface Creek HUC12 headwaters),MARCOTT CREEK [00175356],39.064696,-107.807741,Grand-Mesa_portion.xlsx
4003341,BONITA RES,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.053109,-107.845307,Grand-Mesa_portion.xlsx
4003342,CABIN LAKE RESERVOIR,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),WEST FORK BONITA SURFACE CREEK [00175308],39.03961,-107.88321,Grand-Mesa_portion.xlsx
4003343,CEDAR MESA RESERVOIR,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.049309,-107.846714,Grand-Mesa_portion.xlsx
4003344,COLE RESERVOIR NO. 4,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.019009,-107.845717,Grand-Mesa_portion.xlsx
4003345,COLE RESERVOIR NO. 5,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.003947,-107.846037,Grand-Mesa_portion.xlsx
4003346,DESERTED PARK RESERVOIR,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.04641,-107.863916,Grand-Mesa_portion.xlsx
4003347,DREYFUS RESERVOIR,Reservoir,Within Grand Mesa NF (Surface Creek HUC12 headwaters),SURFACE CREEK [00175359],39.020011,-107.86181,Grand-Mesa_portion.xlsx
